code|code_type|description|doseage_format|match_term|inclusion_exclusion
01150|ICD_9|Tuberculous bronchiectasis, unspecified||bronchiectasis|
01151|ICD_9|Tuberculous bronchiectasis, bacteriological or histological examination not done||bronchiectasis|
01152|ICD_9|Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)||bronchiectasis|
01153|ICD_9|Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy||bronchiectasis|
01154|ICD_9|Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||bronchiectasis|
01155|ICD_9|Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||bronchiectasis|
01156|ICD_9|Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||bronchiectasis|
4940|ICD_9|Bronchiectasis without acute exacerbation||bronchiectasis|
4941|ICD_9|Bronchiectasis with acute exacerbation||bronchiectasis|
74861|ICD_9|Congenital bronchiectasis||bronchiectasis|
27700|ICD_9|Cystic fibrosis without mention of meconium ileus||cystic fibrosis|
27701|ICD_9|Cystic fibrosis with meconium ileus||cystic fibrosis|
27702|ICD_9|Cystic fibrosis with pulmonary manifestations||cystic fibrosis|
27703|ICD_9|Cystic fibrosis with gastrointestinal manifestations||cystic fibrosis|
27709|ICD_9|Cystic fibrosis with other manifestations||cystic fibrosis|
V776|ICD_9|Screening for cystic fibrosis||cystic fibrosis|
V8381|ICD_9|Cystic fibrosis gene carrier||cystic fibrosis|
01005|ICD_9|Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01006|ICD_9|Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01010|ICD_9|Tuberculous pleurisy in primary progressive tuberculosis, unspecified||tuberculosis|
01011|ICD_9|Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done||tuberculosis|
01012|ICD_9|Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)||tuberculosis|
01013|ICD_9|Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
