inclusion_exclusion,search_term,code,description
,tuberculosis,A15,respiratory tuberculosis
,tuberculosis,A150,tuberculosis of lung
n,tuberculosis,A154,tuberculosis of intrathoracic lymph nodes
n,tuberculosis,A155,tuberculosis of larynx
,tuberculosis,A157,primary respiratory tuberculosis
,tuberculosis,A158,other respiratory tuberculosis
,tuberculosis,A159,respiratory tuberculosis unspecified
n,tuberculosis,A17,tuberculosis of nervous system
n,tuberculosis,A178,other tuberculosis of nervous system
n,tuberculosis,A1789,other tuberculosis of nervous system
n,tuberculosis,A179,tuberculosis of nervous system
n,tuberculosis,A18,tuberculosis of other organs
n,tuberculosis,A180,tuberculosis of bones and joints
n,tuberculosis,A1801,tuberculosis of spine
n,tuberculosis,A1803,tuberculosis of other bones
n,tuberculosis,A1809,other musculoskeletal tuberculosis
n,tuberculosis,A181,tuberculosis of genitourinary system
n,tuberculosis,A1810,tuberculosis of genitourinary system
n,tuberculosis,A1811,tuberculosis of kidney and ureter
n,tuberculosis,A1812,tuberculosis of bladder
n,tuberculosis,A1813,tuberculosis of other urinary organs
n,tuberculosis,A1814,tuberculosis of prostate
n,tuberculosis,A1815,tuberculosis of other male genital organs
n,tuberculosis,A1816,tuberculosis of cervix
n,tuberculosis,A1818,tuberculosis of other female genital organs
n,tuberculosis,A183,tuberculosis of intestines
n,tuberculosis,A1839,retroperitoneal tuberculosis
n,tuberculosis,A184,tuberculosis of skin and subcutaneous tissue
n,tuberculosis,A185,tuberculosis of eye
n,tuberculosis,A1850,tuberculosis of eye
n,tuberculosis,A1859,other tuberculosis of eye
n,tuberculosis,A186,tuberculosis of (inner) (middle) ear
n,tuberculosis,A187,tuberculosis of adrenal glands
n,tuberculosis,A188,tuberculosis of other specified organs
n,tuberculosis,A1881,tuberculosis of thyroid gland
n,tuberculosis,A1882,tuberculosis of other endocrine glands
n,tuberculosis,A1883,tuberculosis of digestive tract organs
n,tuberculosis,A1884,tuberculosis of heart
n,tuberculosis,A1885,tuberculosis of spleen
n,tuberculosis,A1889,tuberculosis of other sites
,tuberculosis,A19,miliary tuberculosis
,tuberculosis,A190,acute miliary tuberculosis of a single specified site
,tuberculosis,A191,acute miliary tuberculosis of multiple sites
,tuberculosis,A192,acute miliary tuberculosis
,tuberculosis,A198,other miliary tuberculosis
,tuberculosis,A199,miliary tuberculosis
,pulm%infect,A310,pulmonary mycobacterial infection
,infect%lung,B671,echinococcus granulosus infection of lung
,tuberculosis,B90,sequelae of tuberculosis
n,tuberculosis,B900,sequelae of central nervous system tuberculosis
n,tuberculosis,B901,sequelae of genitourinary tuberculosis
n,tuberculosis,B902,sequelae of tuberculosis of bones and joints
n,tuberculosis,B908,sequelae of tuberculosis of other organs
,tuberculosis,B909,sequelae of respiratory and unspecified tuberculosis
n,oto%tox,E0500,thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
n,oto%tox,E0501,thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
n,oto%tox,E051,thyrotoxicosis with toxic single thyroid nodule
n,oto%tox,E0510,thyrotoxicosis with toxic single thyroid nodule without thyrotoxic crisis or storm
n,oto%tox,E0511,thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm
n,oto%tox,E052,thyrotoxicosis with toxic multinodular goiter
n,oto%tox,E0520,thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm
n,oto%tox,E0521,thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm
n,oto%tox,E0530,thyrotoxicosis from ectopic thyroid tissue without thyrotoxic crisis or storm
n,oto%tox,E0531,thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm
n,oto%tox,E0540,thyrotoxicosis factitia without thyrotoxic crisis or storm
n,oto%tox,E0541,thyrotoxicosis factitia with thyrotoxic crisis or storm
n,oto%tox,E0580,other thyrotoxicosis without thyrotoxic crisis or storm
n,oto%tox,E0581,other thyrotoxicosis with thyrotoxic crisis or storm
n,oto%tox,E0590,thyrotoxicosis
n,oto%tox,E0591,thyrotoxicosis
,cystic fibrosis,E84,cystic fibrosis
,cystic fibrosis,E840,cystic fibrosis with pulmonary manifestations
,cystic fibrosis,E841,cystic fibrosis with intestinal manifestations
n,cystic fibrosis,E8411,meconium ileus in cystic fibrosis
,cystic fibrosis,E8419,cystic fibrosis with other intestinal manifestations
,cystic fibrosis,E848,cystic fibrosis with other manifestations
,cystic fibrosis,E849,cystic fibrosis
,oto%tox,H910,ototoxic hearing loss
,oto%tox,H9101,ototoxic hearing loss
,oto%tox,H9102,ototoxic hearing loss
,oto%tox,H9103,ototoxic hearing loss
,oto%tox,H9109,ototoxic hearing loss
,end%renal,I120,hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
,end%renal,I1311,hypertensive heart and chronic kidney disease without heart failure
,end%renal,I132,hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease
,sep%pulm,I2601,septic pulmonary embolism with acute cor pulmonale
,sep%pulm,I2690,septic pulmonary embolism without acute cor pulmonale
,search_term,ICD 10 Code,Description
,respiratory%infect,J06,acute upper respiratory infections of multiple and unspecified sites
,respiratory%infect,J069,acute upper respiratory infection
,bact%pneumonia,J15,bacterial pneumonia
,pneumonia%bact,J156,pneumonia due to other aerobic gram-negative bacteria
,pneumonia%bact,J158,pneumonia due to other specified bacteria
,bact%pneumonia,J159,unspecified bacterial pneumonia
,respiratory%infect,J22,unspecified acute lower respiratory infection
,pulm%infect,J440,chronic obstructive pulmonary disease with acute lower respiratory infection
,respiratory%infect,J440,chronic obstructive pulmonary disease with acute lower respiratory infection
,bronchiectasis,J47,bronchiectasis
,bronchiectasis,J470,bronchiectasis with acute lower respiratory infection
,respiratory%infect,J470,bronchiectasis with acute lower respiratory infection
,bronchiectasis,J471,bronchiectasis with (acute) exacerbation
,bronchiectasis,J479,bronchiectasis
,tuberculosis,J65,pneumoconiosis associated with tuberculosis
n,oto%tox,L560,drug phototoxic response
,rheumatoid arthritis,M05,rheumatoid arthritis with rheumatoid factor
,rheumatoid arthritis,M051,rheumatoid lung disease with rheumatoid arthritis
,rheumatoid arthritis,M0510,rheumatoid lung disease with rheumatoid arthritis of unspecified site
,rheumatoid arthritis,M0511,rheumatoid lung disease with rheumatoid arthritis of shoulder
,rheumatoid arthritis,M05111,rheumatoid lung disease with rheumatoid arthritis of right shoulder
,rheumatoid arthritis,M05112,rheumatoid lung disease with rheumatoid arthritis of left shoulder
,rheumatoid arthritis,M05119,rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder
,rheumatoid arthritis,M0512,rheumatoid lung disease with rheumatoid arthritis of elbow
,rheumatoid arthritis,M05121,rheumatoid lung disease with rheumatoid arthritis of right elbow
,rheumatoid arthritis,M05122,rheumatoid lung disease with rheumatoid arthritis of left elbow
,rheumatoid arthritis,M05129,rheumatoid lung disease with rheumatoid arthritis of unspecified elbow
,rheumatoid arthritis,M0513,rheumatoid lung disease with rheumatoid arthritis of wrist
,rheumatoid arthritis,M05131,rheumatoid lung disease with rheumatoid arthritis of right wrist
,rheumatoid arthritis,M05132,rheumatoid lung disease with rheumatoid arthritis of left wrist
,rheumatoid arthritis,M05139,rheumatoid lung disease with rheumatoid arthritis of unspecified wrist
,rheumatoid arthritis,M0514,rheumatoid lung disease with rheumatoid arthritis of hand
,rheumatoid arthritis,M05141,rheumatoid lung disease with rheumatoid arthritis of right hand
,rheumatoid arthritis,M05142,rheumatoid lung disease with rheumatoid arthritis of left hand
,rheumatoid arthritis,M05149,rheumatoid lung disease with rheumatoid arthritis of unspecified hand
,rheumatoid arthritis,M0515,rheumatoid lung disease with rheumatoid arthritis of hip
,rheumatoid arthritis,M05151,rheumatoid lung disease with rheumatoid arthritis of right hip
,rheumatoid arthritis,M05152,rheumatoid lung disease with rheumatoid arthritis of left hip
,rheumatoid arthritis,M05159,rheumatoid lung disease with rheumatoid arthritis of unspecified hip
,rheumatoid arthritis,M0516,rheumatoid lung disease with rheumatoid arthritis of knee
,rheumatoid arthritis,M05161,rheumatoid lung disease with rheumatoid arthritis of right knee
,rheumatoid arthritis,M05162,rheumatoid lung disease with rheumatoid arthritis of left knee
,rheumatoid arthritis,M05169,rheumatoid lung disease with rheumatoid arthritis of unspecified knee
,rheumatoid arthritis,M0517,rheumatoid lung disease with rheumatoid arthritis of ankle and foot
,rheumatoid arthritis,M05171,rheumatoid lung disease with rheumatoid arthritis of right ankle and foot
,rheumatoid arthritis,M05172,rheumatoid lung disease with rheumatoid arthritis of left ankle and foot
,rheumatoid arthritis,M05179,rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot
,rheumatoid arthritis,M0519,rheumatoid lung disease with rheumatoid arthritis of multiple sites
,rheumatoid arthritis,M052,rheumatoid vasculitis with rheumatoid arthritis
,rheumatoid arthritis,M0520,rheumatoid vasculitis with rheumatoid arthritis of unspecified site
,rheumatoid arthritis,M0521,rheumatoid vasculitis with rheumatoid arthritis of shoulder
,rheumatoid arthritis,M05211,rheumatoid vasculitis with rheumatoid arthritis of right shoulder
,rheumatoid arthritis,M05212,rheumatoid vasculitis with rheumatoid arthritis of left shoulder
,rheumatoid arthritis,M05219,rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder
,rheumatoid arthritis,M0522,rheumatoid vasculitis with rheumatoid arthritis of elbow
,rheumatoid arthritis,M05221,rheumatoid vasculitis with rheumatoid arthritis of right elbow
,rheumatoid arthritis,M05222,rheumatoid vasculitis with rheumatoid arthritis of left elbow
,rheumatoid arthritis,M05229,rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow
,rheumatoid arthritis,M0523,rheumatoid vasculitis with rheumatoid arthritis of wrist
,rheumatoid arthritis,M05231,rheumatoid vasculitis with rheumatoid arthritis of right wrist
,rheumatoid arthritis,M05232,rheumatoid vasculitis with rheumatoid arthritis of left wrist
,rheumatoid arthritis,M05239,rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist
,rheumatoid arthritis,M0524,rheumatoid vasculitis with rheumatoid arthritis of hand
,rheumatoid arthritis,M05241,rheumatoid vasculitis with rheumatoid arthritis of right hand
,rheumatoid arthritis,M05242,rheumatoid vasculitis with rheumatoid arthritis of left hand
,rheumatoid arthritis,M05249,rheumatoid vasculitis with rheumatoid arthritis of unspecified hand
,rheumatoid arthritis,M0525,rheumatoid vasculitis with rheumatoid arthritis of hip
,rheumatoid arthritis,M05251,rheumatoid vasculitis with rheumatoid arthritis of right hip
,rheumatoid arthritis,M05252,rheumatoid vasculitis with rheumatoid arthritis of left hip
,rheumatoid arthritis,M05259,rheumatoid vasculitis with rheumatoid arthritis of unspecified hip
,rheumatoid arthritis,M0526,rheumatoid vasculitis with rheumatoid arthritis of knee
,rheumatoid arthritis,M05261,rheumatoid vasculitis with rheumatoid arthritis of right knee
,rheumatoid arthritis,M05262,rheumatoid vasculitis with rheumatoid arthritis of left knee
,rheumatoid arthritis,M05269,rheumatoid vasculitis with rheumatoid arthritis of unspecified knee
,rheumatoid arthritis,M0527,rheumatoid vasculitis with rheumatoid arthritis of ankle and foot
,rheumatoid arthritis,M05271,rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot
,rheumatoid arthritis,M05272,rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot
,rheumatoid arthritis,M05279,rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot
,rheumatoid arthritis,M0529,rheumatoid vasculitis with rheumatoid arthritis of multiple sites
,rheumatoid arthritis,M053,rheumatoid heart disease with rheumatoid arthritis
,rheumatoid arthritis,M0530,rheumatoid heart disease with rheumatoid arthritis of unspecified site
,rheumatoid arthritis,M0531,rheumatoid heart disease with rheumatoid arthritis of shoulder
,rheumatoid arthritis,M05311,rheumatoid heart disease with rheumatoid arthritis of right shoulder
,rheumatoid arthritis,M05312,rheumatoid heart disease with rheumatoid arthritis of left shoulder
,rheumatoid arthritis,M05319,rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder
,rheumatoid arthritis,M0532,rheumatoid heart disease with rheumatoid arthritis of elbow
,rheumatoid arthritis,M05321,rheumatoid heart disease with rheumatoid arthritis of right elbow
,rheumatoid arthritis,M05322,rheumatoid heart disease with rheumatoid arthritis of left elbow
,rheumatoid arthritis,M05329,rheumatoid heart disease with rheumatoid arthritis of unspecified elbow
,rheumatoid arthritis,M0533,rheumatoid heart disease with rheumatoid arthritis of wrist
,rheumatoid arthritis,M05331,rheumatoid heart disease with rheumatoid arthritis of right wrist
,rheumatoid arthritis,M05332,rheumatoid heart disease with rheumatoid arthritis of left wrist
,rheumatoid arthritis,M05339,rheumatoid heart disease with rheumatoid arthritis of unspecified wrist
,rheumatoid arthritis,M0534,rheumatoid heart disease with rheumatoid arthritis of hand
,rheumatoid arthritis,M05341,rheumatoid heart disease with rheumatoid arthritis of right hand
,rheumatoid arthritis,M05342,rheumatoid heart disease with rheumatoid arthritis of left hand
,rheumatoid arthritis,M05349,rheumatoid heart disease with rheumatoid arthritis of unspecified hand
,rheumatoid arthritis,M0535,rheumatoid heart disease with rheumatoid arthritis of hip
,rheumatoid arthritis,M05351,rheumatoid heart disease with rheumatoid arthritis of right hip
,rheumatoid arthritis,M05352,rheumatoid heart disease with rheumatoid arthritis of left hip
,rheumatoid arthritis,M05359,rheumatoid heart disease with rheumatoid arthritis of unspecified hip
,rheumatoid arthritis,M0536,rheumatoid heart disease with rheumatoid arthritis of knee
,rheumatoid arthritis,M05361,rheumatoid heart disease with rheumatoid arthritis of right knee
,rheumatoid arthritis,M05362,rheumatoid heart disease with rheumatoid arthritis of left knee
,rheumatoid arthritis,M05369,rheumatoid heart disease with rheumatoid arthritis of unspecified knee
,rheumatoid arthritis,M0537,rheumatoid heart disease with rheumatoid arthritis of ankle and foot
,rheumatoid arthritis,M05371,rheumatoid heart disease with rheumatoid arthritis of right ankle and foot
,rheumatoid arthritis,M05372,rheumatoid heart disease with rheumatoid arthritis of left ankle and foot
,rheumatoid arthritis,M05379,rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot
,rheumatoid arthritis,M0539,rheumatoid heart disease with rheumatoid arthritis of multiple sites
,rheumatoid arthritis,M054,rheumatoid myopathy with rheumatoid arthritis
,rheumatoid arthritis,M0540,rheumatoid myopathy with rheumatoid arthritis of unspecified site
,rheumatoid arthritis,M0541,rheumatoid myopathy with rheumatoid arthritis of shoulder
,rheumatoid arthritis,M05411,rheumatoid myopathy with rheumatoid arthritis of right shoulder
,rheumatoid arthritis,M05412,rheumatoid myopathy with rheumatoid arthritis of left shoulder
,rheumatoid arthritis,M05419,rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder
,rheumatoid arthritis,M0542,rheumatoid myopathy with rheumatoid arthritis of elbow
,rheumatoid arthritis,M05421,rheumatoid myopathy with rheumatoid arthritis of right elbow
