code,descript,new_code
0143-9768,CEFTRIAXONE,001439768%
0143-9856,CEFTRIAXONE,001439856%
0143-9857,CEFTRIAXONE,001439857%
0143-9858,CEFTRIAXONE,001439858%
0143-9859,CEFTRIAXONE,001439859%
0264-3153,CEFTRIAXONE,002643153%
0264-3155,CEFTRIAXONE,002643155%
0338-5002,CEFTRIAXONE,003385002%
0338-5003,CEFTRIAXONE,003385003%
0409-0807,CEFTRIAXONE,004090807%
0409-0808,CEFTRIAXONE,004090808%
0409-7332,CEFTRIAXONE,004097332%
0409-7333,CEFTRIAXONE,004097333%
0409-7334,CEFTRIAXONE,004097334%
0409-7335,CEFTRIAXONE,004097335%
0409-7336,CEFTRIAXONE,004097336%
0409-7337,CEFTRIAXONE,004097337%
0409-7338,CEFTRIAXONE,004097338%
0781-3206,CEFTRIAXONE,007813206%
0781-3207,CEFTRIAXONE,007813207%
0781-3208,CEFTRIAXONE,007813208%
0781-3209,CEFTRIAXONE,007813209%
0781-3210,CEFTRIAXONE,007813210%
0781-9326,CEFTRIAXONE,007819326%
0781-9327,CEFTRIAXONE,007819327%
0781-9328,CEFTRIAXONE,007819328%
0781-9329,CEFTRIAXONE,007819329%
10019-098,CEFTRIAXONE,100190098%
21695-202,CEFTRIAXONE,216950202%
21695-352,CEFTRIAXONE,216950352%
25021-105,CEFTRIAXONE,250210105%
25021-106,CEFTRIAXONE,250210106%
25021-107,CEFTRIAXONE,250210107%
25021-108,CEFTRIAXONE,250210108%
42254-152,CEFTRIAXONE,422540152%
42254-191,CEFTRIAXONE,422540191%
44567-700,CEFTRIAXONE,445670700%
44567-701,CEFTRIAXONE,445670701%
44567-702,CEFTRIAXONE,445670702%
44567-703,CEFTRIAXONE,445670703%
49349-835,CEFTRIAXONE,493490835%
52125-546,CEFTRIAXONE,521250546%
52125-680,CEFTRIAXONE,521250680%
52125-749,CEFTRIAXONE,521250749%
52125-774,CEFTRIAXONE,521250774%
52125-842,CEFTRIAXONE,521250842%
54868-5533,CEFTRIAXONE,548685533%
54868-5589,CEFTRIAXONE,548685589%
55154-0375,CEFTRIAXONE,551540375%
55154-3430,CEFTRIAXONE,551543430%
55154-3431,CEFTRIAXONE,551543431%
55154-5446,CEFTRIAXONE,551545446%
55154-5449,CEFTRIAXONE,551545449%
55154-6954,CEFTRIAXONE,551546954%
55154-6956,CEFTRIAXONE,551546956%
55154-6957,CEFTRIAXONE,551546957%
55154-6958,CEFTRIAXONE,551546958%
55154-6962,CEFTRIAXONE,551546962%
55648-701,CEFTRIAXONE,556480701%
55648-702,CEFTRIAXONE,556480702%
55648-703,CEFTRIAXONE,556480703%
55648-983,CEFTRIAXONE,556480983%
60505-0679,CEFTRIAXONE,605050679%
60505-0750,CEFTRIAXONE,605050750%
60505-0751,CEFTRIAXONE,605050751%
60505-0752,CEFTRIAXONE,605050752%
60505-0753,CEFTRIAXONE,605050753%
60505-6087,CEFTRIAXONE,605056087%
60505-6088,CEFTRIAXONE,605056088%
60505-6102,CEFTRIAXONE,605056102%
60505-6103,CEFTRIAXONE,605056103%
60505-6104,CEFTRIAXONE,605056104%
61786-029,CEFTRIAXONE,617860029%
61786-270,CEFTRIAXONE,617860270%
61786-379,CEFTRIAXONE,617860379%
61786-392,CEFTRIAXONE,617860392%
63187-435,CEFTRIAXONE,631870435%
63323-344,CEFTRIAXONE,633230344%
63323-345,CEFTRIAXONE,633230345%
63323-346,CEFTRIAXONE,633230346%
63323-347,CEFTRIAXONE,633230347%
63323-348,CEFTRIAXONE,633230348%
64679-701,CEFTRIAXONE,646790701%
64679-702,CEFTRIAXONE,646790702%
64679-703,CEFTRIAXONE,646790703%
64679-983,CEFTRIAXONE,646790983%
66288-6100,CEFTRIAXONE,662886100%
68180-611,CEFTRIAXONE,681800611%
68180-622,CEFTRIAXONE,681800622%
68180-633,CEFTRIAXONE,681800633%
68180-644,CEFTRIAXONE,681800644%
68180-655,CEFTRIAXONE,681800655%
68330-001,CEFTRIAXONE,683300001%
68330-002,CEFTRIAXONE,683300002%
68330-003,CEFTRIAXONE,683300003%
68330-004,CEFTRIAXONE,683300004%
68330-005,CEFTRIAXONE,683300005%
68330-006,CEFTRIAXONE,683300006%
76126-007,CEFTRIAXONE,761260007%
0093-2026,AZITHROMYCIN,000932026%
0093-2027,AZITHROMYCIN,000932027%
0093-7146,AZITHROMYCIN,000937146%
0093-7147,AZITHROMYCIN,000937147%
0093-7148,AZITHROMYCIN,000937148%
0093-7149,AZITHROMYCIN,000937149%
0093-7169,AZITHROMYCIN,000937169%
0179-0033,AZITHROMYCIN,001790033%
0409-0144,AZITHROMYCIN,004090144%
0781-1496,AZITHROMYCIN,007811496%
0781-1497,AZITHROMYCIN,007811497%
0781-1941,AZITHROMYCIN,007811941%
0904-6010,AZITHROMYCIN,009046010%
10019-648,AZITHROMYCIN,100190648%
16590-383,AZITHROMYCIN,165900383%
21695-012,AZITHROMYCIN,216950012%
21695-013,AZITHROMYCIN,216950013%
21695-548,AZITHROMYCIN,216950548%
21695-549,AZITHROMYCIN,216950549%
24236-671,AZITHROMYCIN,242360671%
24236-906,AZITHROMYCIN,242360906%
25021-112,AZITHROMYCIN,250210112%
33261-403,AZITHROMYCIN,332610403%
33261-879,AZITHROMYCIN,332610879%
33358-040,AZITHROMYCIN,333580040%
35356-017,AZITHROMYCIN,353560017%
35356-704,AZITHROMYCIN,353560704%
35356-798,AZITHROMYCIN,353560798%
43063-090,AZITHROMYCIN,430630090%
43063-506,AZITHROMYCIN,430630506%
43063-524,AZITHROMYCIN,430630524%
43063-540,AZITHROMYCIN,430630540%
43063-568,AZITHROMYCIN,430630568%
43063-572,AZITHROMYCIN,430630572%
43353-693,AZITHROMYCIN,433530693%
45865-536,AZITHROMYCIN,458650536%
49349-070,AZITHROMYCIN,493490070%
49349-685,AZITHROMYCIN,493490685%
49349-881,AZITHROMYCIN,493490881%
49999-786,AZITHROMYCIN,499990786%
50111-787,AZITHROMYCIN,501110787%
50111-788,AZITHROMYCIN,501110788%
50111-794,AZITHROMYCIN,501110794%
50268-098,AZITHROMYCIN,502680098%
50268-099,AZITHROMYCIN,502680099%
50268-100,AZITHROMYCIN,502680100%
50268-101,AZITHROMYCIN,502680101%
50436-4356,AZITHROMYCIN,504364356%
50436-4357,AZITHROMYCIN,504364357%
52125-020,AZITHROMYCIN,521250020%
52125-212,AZITHROMYCIN,521250212%
52125-267,AZITHROMYCIN,521250267%
52125-539,AZITHROMYCIN,521250539%
52125-699,AZITHROMYCIN,521250699%
52125-748,AZITHROMYCIN,521250748%
52125-751,AZITHROMYCIN,521250751%
52125-787,AZITHROMYCIN,521250787%
52125-844,AZITHROMYCIN,521250844%
52959-838,AZITHROMYCIN,529590838%
53217-173,AZITHROMYCIN,532170173%
54569-5754,AZITHROMYCIN,545695754%
54569-5804,AZITHROMYCIN,545695804%
54569-6204,AZITHROMYCIN,545696204%
54868-3648,AZITHROMYCIN,548683648%
54868-5471,AZITHROMYCIN,548685471%
54868-5478,AZITHROMYCIN,548685478%
54868-5487,AZITHROMYCIN,548685487%
54868-5647,AZITHROMYCIN,548685647%
54868-5648,AZITHROMYCIN,548685648%
54868-5938,AZITHROMYCIN,548685938%
54868-6348,AZITHROMYCIN,548686348%
55045-3693,AZITHROMYCIN,550453693%
55150-174,AZITHROMYCIN,551500174%
55154-0525,AZITHROMYCIN,551540525%
55154-2062,AZITHROMYCIN,551542062%
55154-3432,AZITHROMYCIN,551543432%
55154-4327,AZITHROMYCIN,551544327%
55154-4333,AZITHROMYCIN,551544333%
55154-4986,AZITHROMYCIN,551544986%
55154-5759,AZITHROMYCIN,551545759%
55154-9382,AZITHROMYCIN,551549382%
55154-9385,AZITHROMYCIN,551549385%
55289-274,AZITHROMYCIN,552890274%
55289-964,AZITHROMYCIN,552890964%
55648-961,AZITHROMYCIN,556480961%
55648-962,AZITHROMYCIN,556480962%
55648-964,AZITHROMYCIN,556480964%
55695-002,AZITHROMYCIN,556950002%
55695-003,AZITHROMYCIN,556950003%
55695-006,AZITHROMYCIN,556950006%
55695-028,AZITHROMYCIN,556950028%
55695-029,AZITHROMYCIN,556950029%
57297-160,AZITHROMYCIN,572970160%
57297-161,AZITHROMYCIN,572970161%
57297-162,AZITHROMYCIN,572970162%
58118-0020,AZITHROMYCIN,581180020%
58118-0038,AZITHROMYCIN,581180038%
58118-7147,AZITHROMYCIN,581187147%
58118-7169,AZITHROMYCIN,581187169%
59762-3051,AZITHROMYCIN,597623051%
59762-3060,AZITHROMYCIN,597623060%
59762-3070,AZITHROMYCIN,597623070%
59762-3080,AZITHROMYCIN,597623080%
59762-3110,AZITHROMYCIN,597623110%
59762-3120,AZITHROMYCIN,597623120%
59762-3130,AZITHROMYCIN,597623130%
59762-3140,AZITHROMYCIN,597623140%
60505-2581,AZITHROMYCIN,605052581%
60505-2582,AZITHROMYCIN,605052582%
60505-2583,AZITHROMYCIN,605052583%
60505-6076,AZITHROMYCIN,605056076%
61786-133,AZITHROMYCIN,617860133%
61786-176,AZITHROMYCIN,617860176%
61786-183,AZITHROMYCIN,617860183%
61786-265,AZITHROMYCIN,617860265%
61786-273,AZITHROMYCIN,617860273%
61786-663,AZITHROMYCIN,617860663%
61919-260,AZITHROMYCIN,619190260%
61919-362,AZITHROMYCIN,619190362%
61919-382,AZITHROMYCIN,619190382%
61919-383,AZITHROMYCIN,619190383%
62756-512,AZITHROMYCIN,627560512%
62980-961,AZITHROMYCIN,629800961%
62980-962,AZITHROMYCIN,629800962%
62980-964,AZITHROMYCIN,629800964%
63187-007,AZITHROMYCIN,631870007%
63187-093,AZITHROMYCIN,631870093%
63187-169,AZITHROMYCIN,631870169%
63187-189,AZITHROMYCIN,631870189%
63187-284,AZITHROMYCIN,631870284%
63187-594,AZITHROMYCIN,631870594%
63187-604,AZITHROMYCIN,631870604%
63187-622,AZITHROMYCIN,631870622%
63323-398,AZITHROMYCIN,633230398%
63739-575,AZITHROMYCIN,637390575%
64679-961,AZITHROMYCIN,646790961%
64679-962,AZITHROMYCIN,646790962%
64679-964,AZITHROMYCIN,646790964%
66116-418,AZITHROMYCIN,661160418%
66116-509,AZITHROMYCIN,661160509%
66116-524,AZITHROMYCIN,661160524%
66336-168,AZITHROMYCIN,663360168%
68083-199,AZITHROMYCIN,680830199%
68084-278,AZITHROMYCIN,680840278%
68084-279,AZITHROMYCIN,680840279%
68084-663,AZITHROMYCIN,680840663%
68084-906,AZITHROMYCIN,680840906%
68084-913,AZITHROMYCIN,680840913%
68084-920,AZITHROMYCIN,680840920%
68180-160,AZITHROMYCIN,681800160%
68180-161,AZITHROMYCIN,681800161%
68180-162,AZITHROMYCIN,681800162%
68258-3012,AZITHROMYCIN,682583012%
68258-3051,AZITHROMYCIN,682583051%
68788-0713,AZITHROMYCIN,687880713%
68788-8939,AZITHROMYCIN,687888939%
68788-8947,AZITHROMYCIN,687888947%
68788-9038,AZITHROMYCIN,687889038%
68788-9045,AZITHROMYCIN,687889045%
68788-9046,AZITHROMYCIN,687889046%
68788-9077,AZITHROMYCIN,687889077%
68788-9078,AZITHROMYCIN,687889078%
68788-9311,AZITHROMYCIN,687889311%
68788-9521,AZITHROMYCIN,687889521%
68788-9529,AZITHROMYCIN,687889529%
68788-9958,AZITHROMYCIN,687889958%
68788-9959,AZITHROMYCIN,687889959%
68788-9977,AZITHROMYCIN,687889977%
69189-1496,AZITHROMYCIN,691891496%
76413-101,AZITHROMYCIN,764130101%
0093-7291,LEVOFLOXACIN,000937291%
0093-7292,LEVOFLOXACIN,000937292%
0093-7293,LEVOFLOXACIN,000937293%
0143-9720,LEVOFLOXACIN,001439720%
0143-9721,LEVOFLOXACIN,001439721%
0143-9722,LEVOFLOXACIN,001439722%
0143-9775,LEVOFLOXACIN,001439775%
0143-9776,LEVOFLOXACIN,001439776%
0143-9777,LEVOFLOXACIN,001439777%
0409-0528,LEVOFLOXACIN,004090528%
0781-3341,LEVOFLOXACIN,007813341%
0781-3342,LEVOFLOXACIN,007813342%
0781-3343,LEVOFLOXACIN,007813343%
0781-5790,LEVOFLOXACIN,007815790%
0781-5791,LEVOFLOXACIN,007815791%
0781-5792,LEVOFLOXACIN,007815792%
0904-6249,LEVOFLOXACIN,009046249%
0904-6250,LEVOFLOXACIN,009046250%
0904-6251,LEVOFLOXACIN,009046251%
0904-6351,LEVOFLOXACIN,009046351%
0904-6352,LEVOFLOXACIN,009046352%
0904-6353,LEVOFLOXACIN,009046353%
10544-143,LEVOFLOXACIN,105440143%
10544-245,LEVOFLOXACIN,105440245%
10544-451,LEVOFLOXACIN,105440451%
10544-558,LEVOFLOXACIN,105440558%
10544-624,LEVOFLOXACIN,105440624%
10544-906,LEVOFLOXACIN,105440906%
12634-675,LEVOFLOXACIN,126340675%
13668-082,LEVOFLOXACIN,136680082%
13668-083,LEVOFLOXACIN,136680083%
13668-084,LEVOFLOXACIN,136680084%
16571-150,LEVOFLOXACIN,165710150%
16590-992,LEVOFLOXACIN,165900992%
17478-106,LEVOFLOXACIN,174780106%
17478-107,LEVOFLOXACIN,174780107%
21695-024,LEVOFLOXACIN,216950024%
21695-027,LEVOFLOXACIN,216950027%
21695-041,LEVOFLOXACIN,216950041%
